SteamSpyPlayersEstimate,SteamSpyPlayersEstimate_log,DLCCount_log,PriceFinal_log,PCReqsHaveMin,PriceCurrency,PublisherCountCat,RecommendationCount
16141,9.689179849884317,0.0,1.790091412127358,1,USD,0,0
12196,9.40894529884324,0.0,1.790091412127358,1,USD,0,0
10402,9.249849505070895,0.0,1.790091412127358,1,USD,0,0
18473,9.824119617152556,0.0,1.790091412127358,1,USD,0,0
7712,8.950662495933999,0.0,1.790091412127358,1,USD,0,0
10940,9.30027247947679,0.0,1.790091412127358,1,USD,0,0
9147,9.121290555142672,0.0,1.790091412127358,1,USD,0,0
8071,8.996156562033445,0.0,1.790091412127358,1,USD,0,0
222752,12.31381881325583,0.0,1.790091412127358,1,USD,0,682
89675,11.40395845371829,0.0,0.0,1,missing,0,618
8609,9.060679597421776,0.0,1.790091412127358,1,USD,0,0
9506,9.15978364835903,0.0,1.790091412127358,1,USD,0,0
8250,9.018089684104343,0.0,1.790091412127358,1,USD,0,0
8071,8.996156562033445,0.0,1.790091412127358,1,USD,0,0
12016,9.3940775929113,0.0,1.790091412127358,1,USD,0,0
131643,11.787856588496576,0.0,1.790091412127358,1,USD,0,248
20087,9.907877900837422,0.0,1.790091412127358,1,USD,0,0
6815,8.827028068509152,0.0,1.790091412127358,1,USD,0,0
10402,9.249849505070895,0.0,1.790091412127358,1,USD,0,0
1049195,13.863534714539071,0.0,1.790091412127358,1,USD,0,6207
27440,10.219793524324475,0.0,1.790091412127358,1,USD,0,124
7174,8.878358040627822,0.0,1.790091412127358,1,USD,0,0
273508,12.519089807066926,0.0,2.3969857684155302,1,USD,0,866
31207,10.348429751186492,0.0,2.196112848483529,1,USD,0,425
162849,12.00058481070438,0.0,2.3969857684155302,1,USD,0,1195
145453,11.887615164404608,0.0,1.790091412127358,1,USD,0,1084
25826,10.159175735326064,0.0,2.3969857684155302,1,USD,0,226
36767,10.512383180648483,0.0,2.3969857684155302,1,USD,0,307
31566,10.359867550112398,0.0,2.3969857684155302,1,USD,0,224
758828,13.539531734552023,0.0,2.3969857684155302,1,USD,0,5130
596158,13.298262688991914,0.0,3.0440461338325413,1,USD,0,887
412145,12.929132934489862,0.0,1.790091412127358,1,USD,0,1328
388471,12.869976374120451,0.0,2.3969857684155302,1,USD,0,1641
17038,9.74326011321524,0.0,1.790091412127358,1,USD,0,0
48424,10.787771488275197,0.0,2.3969857684155302,1,USD,0,143
2690,7.897668150726906,0.0,2.3969857684155302,1,USD,0,0
