DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,RecommendationCount,PublisherCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,PlatformWindows,PlatformLinux,PlatformMac,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,HasDemo,MultipleDevs,DLCCountCat,Metacritic_Bins,MovieCountCat,PackageCategory,PublisherCategory,HasDiscount,HasEnglish,LanguageCount,HasSupportURL,HasSupportEmail,IsComWebsite,IsHttpWebsite
0,1,0,77,2,0,14625,1,4819841,57083,4819841,57083,66,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,3,1,0,<= 1,0,1,1,0,0,1,1
0,1,1,95,17,3,73128,1,8741499,76454,7282849,69928,51,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.99,19.99,0,0,1,4,2,> 1,<= 1,0,1,28,1,0,1,1
0,1,0,83,8,1,1427633,1,25833156,128228,25150372,126650,167,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99,0,0,0,4,2,1,<= 1,0,1,31,0,0,0,1
1,1,0,69,1,1,0,1,35332,4919,12913,2974,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,0,0,2,0,1,<= 1,0,1,1,0,0,1,1
0,1,0,81,6,2,1220,1,940689,25354,515451,18779,44,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0,0,0,4,2,> 1,<= 1,0,1,3,0,0,1,1
0,1,21,72,0,4,44364,1,3496958,48712,2989220,45069,285,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,0,0,2,2,0,> 1,<= 1,0,1,12,1,0,1,1
0,1,0,75,1,1,385,1,219883,12270,69767,6913,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0,0,0,3,0,1,<= 1,0,1,3,0,0,0,0
1,1,0,84,2,4,444,1,674354,21475,214861,12129,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99,1,0,0,4,1,> 1,<= 1,0,1,2,0,0,0,1
1,1,0,76,7,3,340,1,619832,20590,139534,9775,12,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,0,0,3,2,> 1,<= 1,0,1,5,0,0,0,1
0,1,0,82,1,2,112,1,53087,6030,22957,3965,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99,14.99,0,0,0,4,0,> 1,<= 1,0,1,1,1,0,1,1
0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.99,19.99,0,0,0,0,0,1,<= 1,0,1,1,0,0,1,1
0,1,0,84,0,1,400,1,113708,8825,60800,6453,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.49,6.49,0,0,0,4,0,1,<= 1,0,1,1,0,0,0,1
0,1,0,56,0,1,210,1,43403,5452,17218,3434,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99,0,0,0,1,0,1,<= 1,0,1,1,0,0,0,0
0,1,0,68,0,2,204,1,69408,6895,38740,5151,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99,14.99,0,0,0,2,0,> 1,<= 1,0,1,1,1,0,0,0
